"id","source_context","start_time","end_time","duration","mapname","participant_key","participant_label","participant_kind","result","arcade_level","total_kills","total_force_spent","total_force_regen","total_damage_taken","total_damage_dealt","low_force_windows","knockdown_events","counter_successes","punish_successes","reset_successes","saber_return_punishes"
"1","arcade","1790126713","1790126770","57","maps/mp/ffa3","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","level_clear","1","1","739","652","195","294","35","1","10","3","10","2"
"2","arcade","1790126772","1790126862","90","maps/mp/ffa3","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","level_clear","2","1","576","476","92","228","11","1","3","2","3","0"
"3","arcade","1790126864","1790126978","114","maps/mp/ffa3","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","level_clear","3","1","948","851","152","303","34","2","4","8","10","0"
"4","arcade","1790127122","1790127179","57","maps/vjun3","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","level_clear","1","1","799","714","236","252","40","3","3","4","10","2"
"5","arcade","1790127181","1790127216","35","maps/vjun3","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","level_clear","2","1","448","348","110","228","21","0","2","3","5","0"
"6","arcade","1790127217","1790127236","19","maps/vjun3","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","level_clear","3","1","159","81","1","122","0","0","2","2","0","1"
"7","arcade","1790127238","1790127288","50","maps/vjun3","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","level_clear","4","1","715","682","70","443","17","1","1","5","9","2"
"8","arcade","1790127290","1790127376","86","maps/vjun3","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","level_clear","5","2","727","643","209","349","48","1","6","4","5","2"
"9","arcade","1790127378","1790127421","43","maps/vjun3","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","eliminated","6","0","497","410","164","295","30","0","2","3","11","0"
"10","arcade","1790127432","1790127501","69","maps/vjun3","iphash:2667391d","^0-=^3'/^7o^3!^0d^0=-^6","2","level_clear","2","1","332","251","131","238","19","2","1","4","3","0"
"11","arcade","1790127503","1790127530","27","maps/vjun3","user:void","void","1","eliminated","3","0","411","311","100","210","17","1","3","3","3","0"
"12","arcade","1790127540","1790127604","64","maps/vjun3","user:void","void","1","eliminated","2","0","955","859","184","435","66","2","5","8","16","0"
"13","arcade","1790127615","1790127630","15","maps/vjun3","user:void","void","1","level_clear","2","1","86","19","4","88","3","0","1","0","1","1"
"14","arcade","1790127632","1790127687","55","maps/vjun3","user:void","void","1","level_clear","3","1","781","716","161","185","8","3","3","3","4","3"
